item_number,item_text,correct,prompt
6,"Tom says: 7 x (2 + 3) = 7 x 2 +3
Katie says: 7 x (2+3) = 7 x 2 + 7 x 3
Who is correct?
A. Only Tom
B. Only Katie 
C. Both Tom and Katie
D. Neither is correct",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Algebra, Linear Equations, Solving Equations
Did the student get the question right? Yes
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 14 problems so far.
The student's average confidence so far is 62.
The student has answered 57% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 0.681
Student Extraversion: -1.487
Student Agreeableness: -0.03
Student Conscientiousness: -0.58
Student Neuroticism: 0.076
Student Openness: -0.747

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 7
Frustration: 6
Boredom: 9
Curiosity/Interest: 4

Engagement: 10"
19,"The question shows a graphic: There is a box labeled starting number, with a 4 inside. then three boxes to its right. The one next to it has a -2, and the following one a x3. Then the final box, labelled answer, reads 6.
The question then asks: How would this calculation be written?
A. (4 - 2 x 3) = 6
B. 4 - 2 x 3 = 6
C. (4 - 2) x 3 = 6
D. 4 - (2 x 3) = 6",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, Basic Arithmetic, Written Subtraction
Did the student get the question right? Yes
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 3 problems so far.
The student's average confidence so far is 75.
The student has answered 67% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: -1.27
Student Extraversion: -0.613
Student Agreeableness: -0.503
Student Conscientiousness: -0.829
Student Neuroticism: 0.73
Student Openness: -2.092

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 6
Frustration: 9
Boredom: 5
Curiosity/Interest: 0

Engagement: 0"
30,"Tom and Katie are talking about differnt ways of writing the expression on the right:
The expression reads 8g + 20
Tom says you could write it as 2(4g + 10)
Katie says you could write it as 8(g + 5)
Who is correct
A. Only Tom
B. Only Katie 
C. Both Tom and Katie
D. Neither is correct",1,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Algebra, Straight Line Graphs, Other Graphs, Equation of a Circle, Graphical Solution of Simultaneous Equations
Did the student get the question right? Yes
What was the student's confidence for this question? 50 

About the student's learning session so far:
This student has worked on 16 problems so far.
The student's average confidence so far is 66.
The student has answered 56% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 1.288
Student Extraversion: -0.235
Student Agreeableness: -1.73
Student Conscientiousness: -0.894
Student Neuroticism: -0.599
Student Openness: -1.737

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 9
Frustration: 5
Boredom: 4
Curiosity/Interest: 3

Engagement: 3"
64,"How many pairs of parallel sides does this shaepe have 
{The shape is a parallelogram}
A. 0
B. 1
C. 2
D. 4",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Algebra, Quadratic Graphs, Plotting Quadratics from Tables of Values
Did the student get the question right? No
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 1 problems so far.
The student's average confidence so far is 100.
The student has answered 0% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 1.693
Student Extraversion: 2.439
Student Agreeableness: -0.509
Student Conscientiousness: 1.241
Student Neuroticism: 1.394
Student Openness: 1.175

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 10
Frustration: 5
Boredom: 7
Curiosity/Interest: 0

Engagement: 9"
69,"(2 + 10 x 3)/4
A. 9.5
B. 8
C. 30.5
D. 9",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Algebra, Quadratic Equations, Solving Equations
Did the student get the question right? No
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 7 problems so far.
The student's average confidence so far is NA.
The student has answered 14% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: -0.873
Student Extraversion: 0.054
Student Agreeableness: -0.368
Student Conscientiousness: -0.48
Student Neuroticism: 0.812
Student Openness: 2.223

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 1
Frustration: 5
Boredom: 2
Curiosity/Interest: 8

Engagement: 9"
80,"The question shows a number line with numbers labelled from -10 to 10 on unit increments. There is a red arrow pointing from -2 to 8
Which of the following two calculations are represented by the arrow above?
A. 10-2 = 8 and 10+8 = -2
B. -1 + 10 = 8 and 8 - 10 = -2
C. -2 + 8 = 10 and -2 -8 = -10 
D. -2 -10 = 8 and 8 + 10 = -2",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, BIDMAS, Basic Arithmetic
Did the student get the question right? Yes
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 2 problems so far.
The student's average confidence so far is 88.
The student has answered 100% questions correctly so far.

About the student:
Student age: 12
Student gender: Male
Student IQ: -1.481
Student Extraversion: -0.133
Student Agreeableness: 0.19
Student Conscientiousness: -0.159
Student Neuroticism: -0.287
Student Openness: -1.622

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 1
Frustration: 1
Boredom: 6
Curiosity/Interest: 5

Engagement: 8"
87,"The question shows an analog clock at 6:45.
After their evening meal, Jack and Becky both look at their watches.
Jack says the time is 7.45 pm
Becky says the time is 06:45
Who is correct?
A. Only Jack
B. Only Becky
C. Both Jack and Becky are correct
D. Both jack and Becky are incorrect",4,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Perimeter, Perimeter and Area
Did the student get the question right? No
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 2 problems so far.
The student's average confidence so far is 75.
The student has answered 0% questions correctly so far.

About the student:
Student age: 11
Student gender: Male
Student IQ: 2.159
Student Extraversion: -1.089
Student Agreeableness: 0.894
Student Conscientiousness: -0.446
Student Neuroticism: -0.782
Student Openness: 0.452

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 5
Frustration: 1
Boredom: 5
Curiosity/Interest: 3

Engagement: 3"
93,"The question shows an image of three squares in grid, There are two side by side in the top, of heght 5 and width 17. Below the left one, theres another square, with the same measurements.
Which calculation could the following diagram represent an efficient way of doing?
A. 34 x 10
B. 34 x 5
C. (2 x 17) + (2 x 5)
D. 17 x 5",2,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Area of Simple Shapes, Perimeter and Area, Compound Area, Maths-Others, Perimeter and Area-Others
Did the student get the question right? No
What was the student's confidence for this question? 75 

About the student's learning session so far:
This student has worked on 13 problems so far.
The student's average confidence so far is NA.
The student has answered 54% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: -0.058
Student Extraversion: -1.31
Student Agreeableness: 0.421
Student Conscientiousness: 0.158
Student Neuroticism: -0.437
Student Openness: 0.375

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 9
Frustration: 2
Boredom: 10
Curiosity/Interest: 4

Engagement: 1"
95,"Construct the following triangle
Shows triangle ABC with side lengths AB = 7, BC = 8, and AC = 6
Measure Angle ACB
What is its value? 
A. 76
B. 47
C. 58
D. 117",3,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Number, Indices, Powers and Roots, Algebra, Writing and Simplifying Expressions, Laws of Indices, Multiplying Terms, Dividing Terms
Did the student get the question right? No
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 5 problems so far.
The student's average confidence so far is 100.
The student has answered 40% questions correctly so far.

About the student:
Student age: 12
Student gender: Female
Student IQ: 0.17
Student Extraversion: -1.692
Student Agreeableness: 0.524
Student Conscientiousness: 1.922
Student Neuroticism: 1.208
Student Openness: -0.175

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 9
Frustration: 0
Boredom: 10
Curiosity/Interest: 3

Engagement: 8"
134,"The item shows a celcius scale from -10 to 10, on increments of 1. There are two horizontal lines at 6 and -3, and labeled between them an arrow pointing from -3 to 6 labelled +9.
Which of the following calculations is represented on the thermometer?
A. -3 + 9 = 6 
B. 3+6=9 
C. 6+9=-3 
D. -3+6=9",1,"You are a simulator for an intelligent tutoring system. I will tell you a math question a student is working on, some information about the student and their interaction with the question, and you will generate a conversation between the student and the intelligent tutor. I will tell you some psychological characteristics of the student, but the tutor does not know them explicitly, they are there just so that you can more accurately model the student. (All psychological variables are specified as z-scores, such that 0 is the mean and 1 is one standard deviation above the mean). Make sure that the student is asking for some help.

 
 
The question is about: Maths, Geometry and Measure, Angles, Measuring Angles
Did the student get the question right? Yes
What was the student's confidence for this question? 100 

About the student's learning session so far:
This student has worked on 9 problems so far.
The student's average confidence so far is NA.
The student has answered 89% questions correctly so far.

About the student:
Student age: 11
Student gender: Male
Student IQ: 0.186
Student Extraversion: 1.755
Student Agreeableness: 0.111
Student Conscientiousness: 1.398
Student Neuroticism: 0.731
Student Openness: -0.149

And this is the student's current motivational state. These are in a scale of 0 - 10
Confidence: 0
Frustration: 1
Boredom: 0
Curiosity/Interest: 0

Engagement: 3"
